id,label,degree,community,followersCount,klout_score,pageranks,eigencentrality,x,y,z
576,SmtStrgW4Trump,6,3,664.0,45.0,0.00020384619659,0.308082645717,136.178467,-231.840714,-242.133575
577,JosephEach,27,1,15809.0,63.0,0.000270779895887,0.117293979177,-334.79541,1020.198303,-130.158951
586,asdasytfhjyhot1,3,9,14.0,39.0,0.000163376872339,0.0,461.224274,45.084045,-643.621155
588,DrJasonJohnson,4,7,6997.0,62.0,0.000163376872339,0.0,-712.304993,20.059839,1340.072144
589,PMorris153,3,7,657.0,53.0,0.000227516124302,0.00901767263601,-653.921997,-44.062717,1496.534302
591,juancplascencia,3,8,215.0,40.0,0.000206581176411,0.00680391369211,-180.003647,-3.371998,497.228394
592,PatriotJewel,11,1,7255.0,60.0,0.00035659772823,0.299151411912,-201.345016,999.598633,-165.095688
594,masspolitica,9,0,4400.0,62.0,0.000283343636382,0.223876100169,228.588425,-306.743805,-453.987915
595,DonaldJTrumpJr,116,0,331288.0,80.0,0.000163376872339,0.0,52.270973,-371.426575,-149.993134
596,Born2RunJosh,21,0,4178.0,59.0,0.000460883544507,0.30082404748,168.547119,-372.411835,-191.30307
599,BarCar565,4,1,140.0,36.0,0.000223742057694,0.0104579289183,-363.160034,733.521667,111.667091
601,bamabev2,7,1,124.0,42.0,0.000232877849381,0.156208396278,-271.300537,885.909485,69.193115
602,MarieMa49685063,10,0,1915.0,54.0,0.00030444472438,0.0956493878989,134.782608,-386.728363,-13.418951
607,TrumpMyPres,19,3,8225.0,63.0,0.000202929771217,0.329946419203,259.031952,-164.467224,53.268124
611,GlockLady,10,1,5400.0,49.0,0.000798893214568,0.0712411789705,-281.743073,1033.587402,75.031059
613,DebsSay,5,1,3902.0,49.0,0.000283817349405,0.0206259524369,-339.363647,1008.123901,74.368965
616,IndyUSA,4,0,0.0,0.0,0.000163376872339,0.0,-335.26062,-52.834782,442.981293
618,MAHAMOSA,24,7,74619.0,65.0,0.000170767402004,0.0114661624386,-1125.044189,-297.719543,1278.032837
623,ArrogantArahant,3,7,33.0,23.0,0.000198025059059,0.019006687367,-1102.693237,-190.164886,1353.779541
624,PattonDivision,32,0,6558.0,62.0,0.000377010129278,0.00947394600738,-22.809082,-113.971336,-245.128632
625,swargcoming,3,0,579.0,55.0,0.00018053284186,0.284330841481,15.646523,-124.003563,-279.7146
628,mtnmancurt,6,1,197.0,43.0,0.000204409186243,0.105077834014,-316.979401,792.324585,34.638924
629,HunterHRC2016,7,4,1788.0,63.0,0.00044610603976,0.0154424331008,108.46402,-72.841599,1946.472168
630,OHenryHernandez,6,4,607.0,55.0,0.000618562196705,0.0325152400647,77.125229,-75.970451,1799.436157
632,Plantflowes,7,4,3301.0,64.0,0.000356332425471,0.0226216116094,95.385887,-29.952646,2029.813354
634,TheBrodyFile,9,0,0.0,0.0,0.000163376872339,0.0,385.990021,-143.358963,-195.20105
635,luvinlife1967,7,0,1702.0,57.0,0.000197797438502,0.0488900959972,373.051147,-169.477203,-185.552353
637,2AFight,10,3,69261.0,69.0,0.000163376872339,0.0,205.380737,182.092453,-167.947067
638,madscape,10,3,2255.0,58.0,0.000321215817844,0.24556488408,10.265052,397.468414,-147.071014
639,Toddkron,7,11,15600.0,61.0,0.000163376872339,0.0,-780.444092,685.277039,255.3909
640,rose10052,13,11,882.0,56.0,0.00141165817514,0.0797618602835,-800.77356,692.870239,269.376831
645,erindschmitt66,4,0,2863.0,55.0,0.000188435519,0.0517213334626,354.47702,-349.332062,-227.162491
646,DogoodII,4,3,0.0,0.0,0.000163376872339,0.0,407.665253,85.536354,-84.789131
647,mike_winkleman,4,3,385.0,50.0,0.000205165349994,0.15828447595,411.988556,62.02174,-38.283531
648,tullyframe,16,3,3935.0,57.0,0.000992574615931,0.546297638627,306.209045,-184.371613,-260.759216
649,Boy_Scout1111,4,3,464.0,46.0,0.000187304850704,0.228784228674,121.514336,-209.686874,-128.40242
650,Accolaidia,9,1,797.0,49.0,0.000455774252304,0.132892705036,-374.746613,1076.230957,-37.23177
653,lisam02184,7,3,680.0,50.0,0.000382652863143,0.230581965237,70.450539,-250.153946,89.358978
655,mitchellvii,47,0,16759.0,72.0,0.00016699369435,0.0917055016486,269.556458,-200.583374,-217.132874
656,PatrickAnna,7,0,4844.0,55.0,0.000256780882859,0.0618185589697,479.649353,-129.576508,-259.605103
658,stoyeneso,13,0,947.0,42.0,0.000774774539605,0.535560371867,363.017609,-144.00885,-50.307728
659,marcorubio,54,11,1102606.0,81.0,0.000198094616683,0.0022679712307,-740.708252,601.021912,264.098053
661,twojjrs,12,0,774.0,48.0,0.000507321805744,0.12310460658,33.880325,-64.822929,2.21959
662,Jessispaul53S,5,9,0.0,0.0,0.000163376872339,0.0,514.731262,-92.851257,-636.169556
664,YouLootWeShoot,3,3,1039.0,52.0,0.000193568459743,0.0383654235485,103.43969,-348.385864,-459.050934
666,kriskrinkled,3,3,836.0,43.0,0.000167375499576,0.187497232746,44.797428,-211.489609,-215.18689
669,KathyVanKlavere,7,3,692.0,51.0,0.00026840135752,0.184628624421,336.376129,-40.415134,-148.772827
673,ProGloCommons,9,7,1358.0,50.0,0.000519825915944,0.0453965405705,-1188.900513,-180.254303,1387.186035
674,unetomaterouge,6,7,1102.0,54.0,0.000308804650751,0.0381462593853,-1171.420166,-191.921478,1394.898438
675,rumpfshaker,17,11,12682.0,64.0,0.000163376872339,0.0,-726.680603,686.420227,255.767517
676,85thLegislature,5,11,5360.0,61.0,0.000275070675041,0.0159147324243,-580.108643,740.526123,292.717743
680,LessGovMoreFun,9,3,0.0,0.0,0.000163376872339,0.0,-169.832901,345.353668,-264.608765
682,ABCPolitics,22,7,97180.0,79.0,0.000191151067814,0.0022679712307,-433.297485,-244.084717,623.093323
684,GoJamielsLawGo,6,3,6872.0,61.0,0.000163376872339,0.0,367.716064,-53.037476,-516.359253
686,agfstydahsfhot1,3,9,14.0,38.0,0.000163376872339,0.0,514.065308,-112.723366,-683.544739
687,Creekredman,8,3,539.0,48.0,0.000266011908775,0.340534680118,291.97464,-159.370117,-325.24646
689,CrestonQ,3,7,461.0,47.0,0.000243599608419,0.0151201776648,-1192.129272,-228.089249,1422.346802
690,IngrahamAngle,23,0,0.0,0.0,0.000163376872339,0.0,144.307159,-469.189484,-303.895447
695,ZenaMorse,14,3,1816.0,56.0,0.00061491730498,0.275958399207,5.054056,92.507401,-216.629715
696,CitzAbroad4Bern,13,7,1991.0,56.0,0.000213318802873,0.0209758024742,-1166.859863,-314.985016,1467.408203
697,Iowa4Bernie,52,7,6031.0,64.0,0.000192655007407,0.0141993647557,-1026.839844,-284.940247,1334.319336
701,NoiseCollector_,11,0,1119.0,56.0,0.000243101547197,0.0977633565496,456.156128,-97.026436,-454.03717
706,HahnAmerica,17,1,0.0,0.0,0.000163376872339,0.0,-497.291595,750.611755,77.688347
707,lnmrls,5,1,1350.0,48.0,0.00025117258447,0.0556610559184,-140.102722,376.843048,-176.075211
708,wolvesofamerica,11,1,486.0,45.0,0.000299180720718,0.271472546747,-248.608871,843.394653,19.690304
710,LaborForBernie,25,7,2927.0,63.0,0.000163376872339,0.0,-1157.742554,-183.920197,1318.061401
711,EmmaSegasture,8,7,633.0,53.0,0.000711809807354,0.054313755328,-1138.805542,-166.035202,1193.821899
712,TweetingYarnie,21,7,5213.0,60.0,0.000163376872339,0.0,-1058.839844,-267.459534,1201.546143
713,RaySlamb,8,7,804.0,54.0,0.000362951429799,0.0236721617493,-1127.115356,-350.087555,1269.65625
717,ejabel2,17,3,1246.0,52.0,0.000381722060316,0.569091502567,261.950226,-65.950554,-184.202148
718,NYC4TRUMP2016,41,0,11743.0,63.0,0.000240133579555,0.0744352463282,360.364319,-365.879791,-382.443878
724,Lrihendry,59,3,68401.0,64.0,0.000208498141946,0.454030935654,36.012917,-101.926872,-405.536713
725,LeahR77,16,3,61584.0,71.0,0.000201555028504,0.299609907017,-77.85305,304.119141,-263.466003
731,ConservativeGM,15,0,1793.0,54.0,0.000939721342034,0.695840713662,396.101166,-391.256531,-228.929535
732,stevej132,16,3,3391.0,59.0,0.000528101780792,0.30467238873,314.739288,-80.389046,-302.06369
737,bloodless_coup,10,1,8013.0,57.0,0.000494222357935,0.140016872336,-357.504272,971.818298,-173.586517
738,ludy730,15,1,2252.0,51.0,0.000595312574107,0.208090874814,-402.018219,876.821716,-116.253571
739,FedoraPayan,17,0,741.0,48.0,0.00046220365862,0.70726637292,319.53595,-287.665283,-135.28389
742,FL4TRUMPDOTCOM,34,0,0.0,0.0,0.000163376872339,0.0,491.264618,-287.044159,-37.054264
744,EricTrump,99,0,202593.0,82.0,0.000163857394752,0.0022679712307,173.929031,-340.104797,71.417244
745,tpicard2,8,0,67.0,16.0,0.000683833127193,0.0753223650904,39.603851,-192.240738,-208.492706
747,RandPaul,16,11,790339.0,87.0,0.000163376872339,0.0,-316.050812,174.426727,326.009827
