id,label,degree,community,followersCount,klout_score,pageranks,eigencentrality,x,y,z
18998,SoulWithoutVoic,3,3,0.0,0.0,0.000217895593822,0.0,-744.865906,-332.251434,-770.30072
19000,skynetwatching3,3,0,42.0,18.0,0.000393922108994,0.026697897871,518.798828,975.875977,311.761078
19019,SallyClimer1,3,0,179.0,36.0,0.000394199765555,0.0565638333068,361.068085,813.088074,382.904114
19088,edonn84,3,4,3454.0,43.0,0.000293600265397,0.0482168286969,-309.116364,577.935852,1057.186279
19093,globaker56,3,4,1430.0,48.0,0.000335917981022,0.0160348057974,-400.055756,761.994141,970.959595
19095,lilmojomofo,5,1,117.0,43.0,0.000217895593822,0.0,1140.118652,-344.035645,-701.29187
19101,StatesPoll,3,5,11912.0,61.0,0.000230243075573,0.00230134531456,-283.717499,-0.333233,1333.314453
19117,royroberts201,4,5,333.0,52.0,0.000267388516973,0.0323389409402,-21.392376,4.484801,1345.42749
19203,freedomusa_,6,5,1647.0,53.0,0.000363228728662,0.0768714510561,-208.284897,75.935173,993.477356
19232,coniinthegarden,6,3,470.0,54.0,0.000316013975592,0.00920538125823,-690.046265,-152.996872,-456.827332
19262,saku_zuckerberg,3,3,46.0,39.0,0.000237844307672,0.0162329263893,-621.076111,-82.837563,-321.832733
19320,ccarolson,3,8,0.0,0.0,0.000217895593822,0.0,-216.548691,853.379944,608.915344
19323,Rowdman57,3,4,4250.0,58.0,0.000284691971469,0.0359330939798,-316.85611,716.929443,1082.052734
19361,debbiedonothing,5,1,28.0,25.0,0.000254938039075,0.00230134531456,1034.820068,-196.964645,-798.747131
19397,LaraLeaTrump,3,5,0.0,0.0,0.000217895593822,0.0,36.85928,-66.079918,1366.819702
19418,JerryLingle,3,1,2793.0,56.0,0.000341127939326,0.0271380774593,938.989014,-289.98703,-803.737671
19430,ChrisdkOh,6,3,56.0,28.0,0.000417978431888,0.0730031398305,-651.598511,-257.052124,-870.097351
19439,JaniceFarley,4,5,441.0,46.0,0.000265315283546,0.0260130043024,49.09296,21.099802,1343.173096
19441,gunluvngal,3,4,1710.0,56.0,0.000257779576816,0.0585088391726,-344.340851,674.394653,1033.841797
19461,leoluminary,7,3,563.0,53.0,0.000469315266888,0.0412262411722,-228.313828,-66.789078,-668.956848
19487,mattieren,4,3,4.0,0.0,0.000282314071342,0.029909165964,-748.422241,-63.193478,-630.41449
19554,Delendarius,4,3,222.0,47.0,0.00024875073908,0.0162970277809,-287.568481,-50.890926,-457.562408
19567,DavidSchlink,3,3,110.0,26.0,0.000242523459078,0.00610837969635,-428.507172,-1.104988,-660.602417
19598,tahino1,7,1,115.0,45.0,0.000307445060433,0.113967705537,1058.387207,-340.599457,-535.653137
19615,Keeping__Real,3,5,27543.0,49.0,0.000238764327218,0.0604536268007,-194.001801,185.35347,884.703735
19688,jimjimzen,5,3,810.0,48.0,0.000306264756137,0.0266321266037,-259.068451,-225.299561,-656.424194
19700,JeffBales6,3,5,3934.0,61.0,0.000248643255241,0.0195070236108,-28.724682,127.966469,753.101318
19703,heatherhair81,3,3,78.0,41.0,0.000305758467012,0.00690403594368,-330.437012,112.293335,-247.643875
19867,YoBenCohen,3,3,0.0,0.0,0.000217895593822,0.0,-706.294434,-24.436426,-476.245514
19912,the_newtt,5,3,175.0,24.0,0.000488030144505,0.0625932999846,-544.232117,-158.466736,-753.530029
19938,Bonnie_219,5,3,217.0,43.0,0.00073523828972,0.0777172792383,-663.531799,-238.927856,-473.812469
19966,APOYODECHILE,4,5,1910.0,45.0,0.000253483750623,0.0184875213994,-174.069138,-20.729908,1278.63269
19983,PattiBerry31666,6,5,1139.0,53.0,0.000366387152419,0.0402006880242,-112.201714,172.29657,1058.329468
20003,stevenoh88,3,3,0.0,0.0,0.000217895593822,0.0,-732.449097,-352.090607,-660.645081
20005,MyDriver88,3,4,453.0,46.0,0.000326965074478,0.00840972501091,-363.387634,822.650574,1044.778076
20043,SteveL202,3,3,1055.0,49.0,0.000518416137222,0.0289660977925,-775.207092,-381.360321,-475.951813
20060,matihargrove,4,4,516.0,48.0,0.000324273898137,0.00920538125823,-87.869827,280.821747,1146.99292
20062,lynrouse1,4,1,828.0,49.0,0.000286111624285,0.0372434104595,879.361877,-292.6073,-630.992371
20092,DesmoNYCLMT,3,3,1179.0,54.0,0.000229821454245,0.00460269062912,-602.768372,-202.213852,-401.134094
20098,HarlowbotDVM,3,3,18.0,17.0,0.00025554331123,0.00840972501091,-413.017151,-141.189484,-463.396484
20104,ReleasetheGSEs,3,4,0.0,0.0,0.000217895593822,0.0,-511.458313,388.259583,669.550293
20138,rumfolo,4,5,1927.0,56.0,0.000339487355281,0.0302951170083,-57.92646,56.265469,931.236877
20165,stanlwilliams,3,3,0.0,0.0,0.000217895593822,0.0,-471.233673,3.382024,-422.368835
20176,HumiennyPam,3,3,40.0,32.0,0.000264435491585,0.0162329263893,-365.500824,-119.533791,-516.68219
20189,Andrewcool9,3,3,583.0,35.0,0.000463682481181,0.0254731128926,-708.381287,14.899769,-645.17865
20245,jaclyn_javurek,3,1,173.0,43.0,0.000232096995116,0.0263828862867,1063.309692,-332.23587,-758.272522
20304,rleedep,4,1,309.0,41.0,0.000282955145705,0.0380433438568,1033.397461,-73.418617,-685.441406
20317,skyoversc,5,3,893.0,52.0,0.00104136734064,0.0793773437853,-491.19928,-230.931854,-674.336731
20347,reitamie,6,5,83.0,24.0,0.00031550008881,0.0746400246319,-145.872208,-30.717184,1336.553223
20390,575haiku,4,1,921.0,51.0,0.000272801716402,0.0643753373239,997.703247,-213.312485,-668.36145
20415,chrislhayes,3,3,501072.0,84.0,0.000217895593822,0.0,-786.661621,-318.135651,-722.206482
20460,Nori_NYC,3,3,265.0,48.0,0.000362988700104,0.00991541407815,-455.78009,-167.433289,-904.308716
20476,SnowdenEd,3,1,292.0,48.0,0.000281286683168,0.00460269062912,951.555786,-31.881588,-582.200928
20518,girlzinger,4,1,906.0,52.0,0.000323952287892,0.336320825307,857.683228,-275.119537,-498.577911
20606,thespaceking12,5,3,68.0,38.0,0.000243076022462,0.0223060354407,-593.479736,-282.418274,-694.294373
20608,HankMobleyLives,5,1,1760.0,51.0,0.000762847400212,0.319811784585,1288.672729,-227.816101,-511.938385
20629,AmericanHeart5,6,2,883.0,52.0,0.000775804382824,0.0504164445096,156.975601,654.093445,1139.53833
20658,just_jenna,3,1,0.0,0.0,0.000217895593822,0.0,1132.521729,-233.607773,-702.693909
20697,cp2austin,4,1,0.0,0.0,0.000217895593822,0.0,1014.802856,-122.870857,-540.401733
20698,jjbenz19,3,1,7780.0,59.0,0.000331730614137,0.0965983202851,1028.890015,-54.410702,-461.835938
20737,az_valentine,3,5,2138.0,56.0,0.000289341646259,0.0420403150103,-83.327499,243.473068,933.708557
20744,GarrettShorr,3,3,53.0,35.0,0.000303993854108,0.024535505937,-632.284424,43.580814,-472.66983
20774,Sistas4Bernie,3,3,648.0,51.0,0.000238934798996,0.0346302758878,-749.124573,-64.947014,-789.992188
20796,drackcove,3,3,16.0,19.0,0.000292779969688,0.0452391909096,-768.358704,-122.460701,-576.81543
20808,DCSoljaGurl,3,3,1033.0,51.0,0.000223255043159,0.0105610244814,-101.387436,-371.410583,-669.662842
20839,Journey4Bernie,3,3,0.0,0.0,0.000217895593822,0.0,-732.510193,-86.25013,-381.064117
20905,SueUvino,3,3,168.0,38.0,0.000247210318202,0.0207573581547,-484.001465,-128.395309,-486.444885
20919,browngravy_93,3,5,286.0,46.0,0.000257194459758,0.0516138706806,-210.074448,268.639801,1112.090698
20920,BringBackUS,3,4,573.0,29.0,0.000242036931232,0.00690403594368,-324.584747,756.540771,939.269409
20965,MiriamDanielle9,3,3,109.0,45.0,0.000317934899395,0.00610837969635,-663.255188,-217.193878,-263.747742
21132,SNOOPaLUPE,3,5,545.0,36.0,0.000340625489354,0.00991541407815,-178.505859,224.54895,206.79921
21261,Conservatveone,4,8,2382.0,47.0,0.000356027275159,0.0146896642129,-189.178772,813.921814,564.323547
21281,MNforTrump,4,5,2485.0,46.0,0.000305004343283,0.00920538125823,67.32518,-27.272491,1342.548218
21292,libjamesbond007,3,1,2216.0,45.0,0.000310427747908,0.03179296274,1007.833191,-108.388603,-722.230225
21296,TVineberg,3,3,1935.0,56.0,0.000262346528125,0.00460269062912,-583.6521,-243.899246,-309.100586
21360,Legionof7,6,3,12110.0,48.0,0.000267108420124,0.0526338096271,-530.036072,-39.885738,-702.276367
21384,leroy32148,3,5,1407.0,53.0,0.00028412299594,0.00690403594368,48.908653,-119.554955,1397.402222
21420,bythelake2,3,5,1973.0,53.0,0.00022631433138,0.00230134531456,-14.072783,153.515762,1415.485352
21564,EuniceStevens15,3,5,521.0,47.0,0.000298635962633,0.0268230368013,-136.626709,-90.022133,1023.085999
21594,pilgrimseoul,3,3,37.0,30.0,0.000328932632412,0.0319666734238,-566.544006,-162.663025,-968.405579
21606,Vote4HEROES,3,3,6642.0,56.0,0.000247679470052,0.0121515126497,-382.53714,-218.841446,-590.786133
21625,HollyNiotti,4,5,686.0,46.0,0.000257834547646,0.0627265712967,-195.682144,-4.768762,1234.10437
21626,etara44,5,3,579.0,48.0,0.000322462515141,0.0429224299777,-688.921509,-226.91362,-783.686279
21637,DCBuffkin,3,5,3003.0,52.0,0.00023647486525,0.0621624965578,-117.698273,-94.799637,1247.52063
21652,danahaswell,3,3,1525.0,61.0,0.000537120144929,0.0351799643011,-455.530029,-264.114716,-581.952209
21667,New0rleans_Lady,3,4,3314.0,41.0,0.000254489548159,0.0166258411561,-188.253479,571.836792,1057.984985
21785,LatinaforTed,3,4,3144.0,41.0,0.000341950877227,0.0189271864707,-383.933075,884.624756,1125.772095
21802,vikkideiter,3,5,75.0,36.0,0.00030993534479,0.0212565471805,-225.970261,325.398926,1187.010864
21816,Kirk_John_L,3,5,853.0,53.0,0.00027176476182,0.0325997096216,-292.564575,-13.294247,1159.128418
21859,v_nightryderb,3,1,827.0,55.0,0.000672201823734,0.0777444998824,1069.568604,-90.8508,-557.313782
21871,ThomasBernpaine,3,3,0.0,0.0,0.000217895593822,0.0,-772.996155,-34.585247,-503.549072
21926,CelesteHerget,3,5,4298.0,57.0,0.000417489662728,0.0702685533568,132.869919,333.280701,1016.628174
21938,censoredbee,5,4,1718.0,56.0,0.000404822071123,0.0431536013726,-247.117996,700.402222,897.872681
21944,montanabohemian,3,1,75.0,44.0,0.000303135940336,0.00840972501091,747.278015,-67.799088,-390.64267
21956,Lizbethjoy,4,4,2483.0,50.0,0.000482902004238,0.0352278120201,-397.690979,821.068542,1029.132202
22093,RobMoxonChef,3,5,1094.0,49.0,0.000264276735549,0.0631660190626,-193.072128,-9.640386,707.073975
22116,pplenkie,3,5,250.0,48.0,0.000242630930752,0.0466134993586,-177.984528,94.650452,1308.449219
22129,minnamyself,4,5,3522.0,60.0,0.000288999917649,0.0282033863314,-145.568359,-86.725525,1341.040649
22185,fronsworth,3,3,0.0,0.0,0.000217895593822,0.0,-623.464111,-295.042023,-744.08374
22205,Rockprincess818,3,5,48964.0,73.0,0.000229664035675,0.0133211317136,-141.476959,142.549286,1165.638672
22266,Leepa_Faith,4,3,124.0,34.0,0.000381587684159,0.0544833275199,-692.381531,-47.04018,-450.157562
22352,AJ_Rutten,4,1,4818.0,60.0,0.000325754107012,0.0264755290463,847.879883,-275.095551,-457.686279
22402,whatzzhername,3,5,1905.0,54.0,0.000364311175153,0.0249298549534,-131.378677,353.929138,1053.863403
22427,dahart66,3,4,699.0,52.0,0.000277033532734,0.00690403594368,-184.902618,539.114746,919.636719
22477,grwoobie,3,3,1182.0,57.0,0.000864154453994,0.0613510886174,-816.923279,-203.094894,-598.612183
22515,AmericanSniperG,3,5,2083.0,56.0,0.000535069018079,0.0129313092336,-352.065796,157.773117,1229.305054
22555,wRx7M,4,4,694.0,44.0,0.000369029120423,0.0281758431522,-382.044006,821.596191,999.132629
22557,mchuhlga,3,4,192.0,22.0,0.000278551222207,0.00840972501091,497.850128,82.049423,139.121368
22561,SusanStopsongs,3,3,2583.0,60.0,0.000221581383625,0.00754882202056,-599.684937,-29.166193,-783.425659
22569,ViewsOnCruz,3,4,811.0,45.0,0.000327775413902,0.0111267005814,-436.44281,388.463654,412.200775
22607,pedocles,4,3,479.0,43.0,0.000257076609214,0.0157117454036,-582.785034,-117.306351,-503.130951
22657,Ps5725,3,4,2442.0,41.0,0.000309255106458,0.00840972501091,-202.41922,372.307434,1025.096558
22672,GKMTNtwits,3,1,4311.0,63.0,0.000249371090443,0.030491382343,1047.260376,-191.88443,-861.746948
22677,lehimesa,6,1,4477.0,48.0,0.00031617280596,0.040660008471,804.845093,-236.465363,-587.835693
22739,Diszident,3,3,247.0,47.0,0.000217895593822,0.0,-660.543945,-365.323242,-342.430847
22750,Faytte,3,3,54.0,42.0,0.000222525899479,0.00230134531456,95.524315,-86.334869,-386.848206
22850,IowaGOPer,3,0,0.0,0.0,0.000217895593822,0.0,211.718369,739.708435,869.54425
22859,MsNonoESQ,4,3,1843.0,57.0,0.000423080321144,0.0244783564877,-777.448181,-89.360107,-733.059021
22866,Tea4Freedom,3,5,6166.0,0.0,0.000233601796885,0.0131744705331,-206.382416,-3.249505,720.194519
22930,EllenHarrison3,3,4,75.0,25.0,0.000361121488373,0.0260441073707,-271.604431,766.445313,1061.019897
22953,asydtahsfbuhot1,4,5,0.0,0.0,0.000259561655037,0.0504749771951,-269.771454,-238.330048,1252.806274
22972,naveenchenna,3,3,24.0,29.0,0.000370165916376,0.0141964993576,-612.212646,-168.115921,-962.056702
23041,sareed59,4,0,428.0,45.0,0.000718948241895,0.0931712063536,493.00531,968.840515,326.873596
23124,mazon1957,3,3,0.0,0.0,0.000217895593822,0.0,-775.067444,-126.520485,-334.837524
23126,salarcon1,3,1,0.0,0.0,0.000217895593822,0.0,943.450256,-395.229614,-695.029175
23142,JerrryOlson,6,1,1331.0,46.0,0.000373818081518,0.272439370167,1049.809326,-220.351105,-392.101563
23218,jack_supernova,4,5,1933.0,51.0,0.000650446530057,0.0606940148899,-48.42049,42.370842,1267.014648
23250,denamgray,3,3,365.0,43.0,0.000342127456986,0.0182533140363,-887.12323,-180.335388,-702.586365
23315,WorkingAgainPAC,3,0,0.0,0.0,0.000217895593822,0.0,518.22406,993.61908,322.18045
23353,dswinfield,3,3,541.0,48.0,0.000430246696534,0.02722760127,-595.610962,-431.20993,-301.113647
23392,kelliecarlson33,3,7,1143.0,52.0,0.000861009437688,0.0130752757764,159.324707,1635.828125,-12.297631
23451,MIAMIforTRUMP,4,5,23736.0,61.0,0.000217895593822,0.0,-179.703415,-203.562653,998.893127
23472,cyndiacothervy1,4,5,10.0,28.0,0.000217895593822,0.0,-290.895477,-206.929703,1181.859741
23518,apollobartender,3,3,849.0,50.0,0.000264217161668,0.0378616860377,-791.204346,-215.010132,-478.776276
23611,KamVTV,4,5,2700.0,64.0,0.000249929457687,0.0225540586995,-186.737122,120.237541,1281.665771
23691,Henrylewski,3,5,148.0,41.0,0.000259566918489,0.0652840916035,-165.223938,157.597626,1278.349121
23793,TheBlackFiles,3,3,0.0,0.0,0.000217895593822,0.0,-684.071655,-157.971359,-330.112
23825,mesiaindo,4,5,4319.0,61.0,0.000287098766976,0.0260130043024,-132.945129,-94.015289,1270.866455
23829,bagiver2,3,5,55.0,36.0,0.000296800922487,0.0898947930271,20.983168,4.443892,1270.620972
23841,murdoch_aj,3,1,176.0,46.0,0.000312111134357,0.103631868021,1046.431641,-64.4328,-498.443237
23883,OldSaukRiver,3,3,1852.0,54.0,0.000264492643773,0.0163738409587,-783.6521,-303.600677,-603.474609
