source,target,weight
1284,448,2.000000
655,648,2.000000
0,1288,2.000000
283,1290,2.000000
4,1292,2.000000
1179,1293,2.000000
595,784,2.000000
72,1304,2.000000
1306,390,2.000000
321,1308,2.000000
1312,1313,2.000000
1314,1315,2.000000
759,1316,2.000000
474,1324,2.000000
180,927,2.000000
29,1327,2.000000
32,7,2.000000
29,1329,2.000000
1330,1084,2.000000
29,1267,2.000000
553,1342,2.000000
1348,183,2.000000
1350,1351,2.000000
659,1355,2.000000
477,1356,2.000000
1359,1360,2.000000
92,1364,2.000000
0,465,2.000000
400,1368,2.000000
960,991,2.000000
46,1084,2.000000
88,505,2.000000
92,1375,2.000000
306,188,2.000000
780,71,2.000000
46,1385,2.000000
1387,1388,2.000000
323,1389,2.000000
32,1390,2.000000
1392,1393,2.000000
889,161,2.000000
1394,1395,2.000000
1398,1399,2.000000
122,1402,2.000000
72,1406,2.000000
1407,1408,2.000000
1121,1418,2.000000
491,1419,2.000000
747,1294,2.000000
200,199,2.000000
747,1420,2.000000
0,1421,2.000000
192,1423,2.000000
1425,1426,2.000000
46,1427,2.000000
1132,1428,2.000000
1429,1430,2.000000
485,307,2.000000
29,1434,2.000000
0,1435,2.000000
92,1436,2.000000
199,784,2.000000
32,1443,2.000000
180,1444,2.000000
437,1445,2.000000
200,781,2.000000
1449,1450,2.000000
335,1451,2.000000
32,1455,2.000000
1458,1459,2.000000
32,1460,2.000000
371,393,2.000000
323,1465,2.000000
960,628,2.000000
29,1466,2.000000
845,1467,2.000000
927,1020,2.000000
283,724,2.000000
32,1470,2.000000
25,1018,2.000000
325,1471,2.000000
1472,1473,2.000000
1022,1475,2.000000
1476,1477,2.000000
437,1139,2.000000
855,383,2.000000
277,308,2.000000
896,183,2.000000
444,1481,2.000000
1161,1482,2.000000
187,1489,2.000000
325,387,2.000000
325,1493,2.000000
170,1496,2.000000
29,877,2.000000
1497,1498,2.000000
92,1499,2.000000
371,465,2.000000
800,1281,2.000000
437,1503,2.000000
1504,907,2.000000
170,383,2.000000
924,1507,2.000000
323,877,2.000000
1121,640,2.000000
499,1207,2.000000
283,945,2.000000
29,1514,2.000000
32,1515,2.000000
1516,47,2.000000
1035,1517,2.000000
186,946,2.000000
343,1521,2.000000
659,1522,2.000000
186,1525,2.000000
474,1135,2.000000
248,1526,2.000000
0,1095,2.000000
199,1533,2.000000
400,1534,2.000000
46,63,2.000000
199,866,2.000000
456,403,2.000000
59,1541,2.000000
29,1542,2.000000
1544,1545,2.000000
139,1550,2.000000
0,1553,2.000000
122,1554,2.000000
845,457,2.000000
4,1558,2.000000
258,930,2.000000
927,1135,2.000000
122,1561,2.000000
1565,1566,2.000000
1571,1465,2.000000
1572,851,2.000000
482,1573,2.000000
1575,1576,2.000000
59,1580,2.000000
1583,1584,2.000000
1026,1588,2.000000
169,7,2.000000
1591,312,2.000000
1593,950,2.000000
254,448,2.000000
92,1595,2.000000
4,836,2.000000
773,361,2.000000
122,126,2.000000
32,128,2.000000
122,1390,2.000000
347,199,2.000000
199,1157,2.000000
248,1605,2.000000
29,1610,2.000000
927,338,2.000000
4,1613,2.000000
969,33,2.000000
1615,183,2.000000
343,1135,2.000000
343,1618,2.000000
1619,1517,2.000000
1620,1621,2.000000
0,1622,2.000000
213,210,2.000000
871,1627,2.000000
1631,1632,2.000000
29,1633,2.000000
1035,450,2.000000
78,591,2.000000
96,1634,2.000000
200,458,2.000000
29,1636,2.000000
1179,1641,2.000000
1048,1418,2.000000
283,347,2.000000
186,1644,2.000000
1647,1648,2.000000
0,498,2.000000
0,408,2.000000
96,1650,2.000000
659,1651,2.000000
199,1656,2.000000
325,1657,2.000000
659,1121,2.000000
1667,1542,2.000000
1669,1670,2.000000
4,1675,2.000000
91,1676,2.000000
139,1681,2.000000
476,1682,2.000000
186,1683,2.000000
1429,55,2.000000
200,1684,2.000000
0,1686,2.000000
845,1689,2.000000
199,255,2.000000
557,1693,2.000000
283,1694,2.000000
491,1696,2.000000
92,1698,2.000000
372,354,2.000000
213,1701,2.000000
122,1705,2.000000
29,1706,2.000000
435,1580,2.000000
1707,1116,2.000000
1407,1708,2.000000
1711,1712,2.000000
1069,1713,2.000000
170,77,2.000000
199,1715,2.000000
46,1718,2.000000
744,1719,2.000000
199,1720,2.000000
1240,1356,2.000000
46,280,2.000000
1278,884,2.000000
170,1724,2.000000
347,283,2.000000
936,1727,2.000000
437,33,2.000000
170,1731,2.000000
435,347,2.000000
91,1735,2.000000
1317,1736,2.000000
893,1315,2.000000
29,1738,2.000000
474,69,2.000000
91,1747,2.000000
59,1750,2.000000
1753,47,2.000000
577,202,2.000000
29,1758,2.000000
29,945,2.000000
1075,238,2.000000
335,1760,2.000000
406,1762,2.000000
0,1763,2.000000
122,1766,2.000000
1014,1772,2.000000
400,1002,2.000000
4,1773,2.000000
1776,1777,2.000000
111,1779,2.000000
160,1780,2.000000
200,1781,2.000000
186,1047,2.000000
4,34,2.000000
200,1783,2.000000
456,1786,2.000000
335,1789,2.000000
1791,1792,2.000000
170,1796,2.000000
170,1797,2.000000
323,809,2.000000
474,465,2.000000
59,1801,2.000000
435,1802,2.000000
139,618,2.000000
1806,1807,2.000000
337,1810,2.000000
257,1811,2.000000
553,1028,2.000000
1813,1368,2.000000
4,404,2.000000
91,55,2.000000
437,247,2.000000
1132,1065,2.000000
655,1819,2.000000
1820,1821,2.000000
4,1822,2.000000
1827,1828,2.000000
199,1832,2.000000
659,117,2.000000
25,1835,2.000000
1836,1837,2.000000
170,69,2.000000
200,1839,2.000000
122,806,2.000000
46,1221,2.000000
46,648,2.000000
343,1847,2.000000
1848,475,2.000000
1116,1849,2.000000
1850,333,2.000000
1278,1674,2.000000
91,1853,2.000000
371,960,2.000000
1855,1856,2.000000
4,1865,2.000000
323,1866,2.000000
283,1867,2.000000
435,648,2.000000
32,1868,2.000000
46,126,2.000000
32,1227,2.000000
934,1871,2.000000
1330,1872,2.000000
0,738,2.000000
32,1221,2.000000
1880,1881,2.000000
186,950,2.000000
170,1883,2.000000
1887,88,2.000000
1888,35,2.000000
4,763,2.000000
32,1450,2.000000
53,275,2.000000
1891,88,2.000000
1896,1897,2.000000
32,1898,2.000000
1271,7,2.000000
199,458,2.000000
29,1899,2.000000
57,438,2.000000
1900,13,2.000000
187,1195,2.000000
283,1903,2.000000
1278,972,2.000000
1906,1907,2.000000
6,1910,2.000000
1911,448,2.000000
491,1914,2.000000
1916,638,2.000000
4,1917,2.000000
139,1919,2.000000
456,1091,2.000000
435,33,2.000000
444,1747,2.000000
32,1921,2.000000
160,1923,2.000000
