Source,Target,weight
hartbeatlightly,saforbernie,2.0
azblonde2015,wood_brdwood68,2.0
MADE__USA,pennyrn2010,2.0
KLSouth,CarolynColson,2.0
RoseAnnDeMoro,jaclynkellye,2.0
LivingOnChi,rockyacht,2.0
People4Bernie,PeterCohen17,2.0
BernieSanders,JonBanquer,2.0
AdamSmith_USA,FreddyLawrence1,2.0
WorldForBernie,katz0081,2.0
C4Constitution,jjadamsny888,2.0
BernieSanders,RudolfSailor,2.0
alexandraheuser,italydreamer15,2.0
k_devi,VanStreetDog,2.0
ernieHHI,ejabel2,2.0
RoseAnnDeMoro,WNC4Bernie,2.0
HillaryClinton,Donna_West,2.0
Moon___Sister,throwupthehornz,2.0
YoBenCohen,IgoHAMnCHZ,2.0
azblonde2015,Pantheriaa,2.0
CNBCi,BerniesBros,2.0
People4Bernie,MonikaBosa,2.0
LindaSuhler,Brianco18779676,2.0
GlennHeiser,TammyKosiancic,2.0
BernieSanders,KoalaInTheOven,2.0
JaredWyand,stevemeredith21,2.0
BernieSanders,hurrystyles94,2.0
azblonde2015,RBariekman,2.0
faagifts,9975Ts,2.0
LaborForBernie,EmmaSegasture,2.0
DanScavino,MarieMa49685063,2.0
BOSSYtxmar55,Dad_Trump2,2.0
USJeffersonianA,nana_mo_Amelika,2.0
Iowa4Bernie,KAIJUKING23,2.0
CarolChupp,coblentzjx,2.0
Bernlennials,neaner069,2.0
TheresaMechele,lulujoy6101,2.0
DanScavino,TomatoPie1,2.0
DanScavino,winwarchr,2.0
NicholsUprising,jkrupkin26,2.0
LaborForBernie,CL4R4GU3RR4,2.0
achanu,VoteForBernie16,2.0
DanScavino,SqlAgent01,2.0
BernieSanders,Arphahat,2.0
ChgocadChic,bcwilliams92,2.0
LaborForBernie,kimscloset,2.0
People4Bernie,ArrogantArahant,2.0
MmmBob,vgnsocjust,2.0
JaredWyand,TrumpBMA1988,2.0
BerniesHomie,rafie281,2.0
CNN,juancplascencia,2.0
BernieSanders,JamesSheaiv,2.0
BerniesHomie,Gsantollo,2.0
tgradous,JMontanaPOTL,2.0
KekdzezezKeklel,YugeTrumpnado,2.0
JaredWyand,C0nservativeGal,2.0
DanScavino,amvetshawaii,2.0
People4Bernie,hurrystyles94,2.0
BernieSanders,IceDeep,2.0
Bernie_Facts,dylanthinks_,2.0
littlebytesnews,hopingforachang,2.0
CBSNLive,NorskNN_Int,2.0
peterdaou,8802Ditman,2.0
slone,WavRidr101,2.0
BernieSanders,BernieSandersAZ,2.0
azblonde2015,FedoraPayan,2.0
marcorubio,TeamMarcoIA,2.0
DanScavino,solomon_ann,2.0
Spirit_of_1776_,PP15146407,2.0
TwoOneSix216,Doodles4Bernie,2.0
Women4Bernie,Finance_Fan,2.0
BernieSanders,achanu,2.0
RWSurferGirl1,TSFearadaigh,2.0
BernieSanders,USAprogression,2.0
CaliForBernie,chic61dotcom,2.0
azblonde2015,jrarvelo,2.0
BernieSanders,suz8863,2.0
LindaSuhler,Boy_Scout1111,2.0
Trumptbird,love_icydelight,2.0
BernieSanders,LesaWilbert,2.0
JohnGGalt,SilvanaGuerra11,2.0
CNN,lamenaknight,2.0
People4Bernie,Campaign4Bernie,2.0
williamecurley,KAIJUKING23,2.0
LivNow,VetApologist,2.0
NewyorkWeissman,JJMCCABE2,2.0
CyLyBu,YugeTrumpnado,2.0
KLSouth,yesdog1942,2.0
azblonde2015,w_turley,2.0
Iowa4Bernie,TeacherWarrior,2.0
Emmme30,TinoTarango,2.0
LivingOnChi,aheffne,2.0
AidanKing_,DannysDarling,2.0
FoxNews,1200CreativeInn,2.0
HeatherMatarazz,Henry111194,2.0
realDonaldTrump,JohnJaeger_MT,2.0
Women4Bernie,chic61dotcom,2.0
THETXEMBASSY,jphilman0206,2.0
CallawayBOT,KAIJUKING23,2.0
ChristiChat,Brianco18779676,2.0
italydreamer15,alexandraheuser,2.0
JaredWyand,ZenaMorse,2.0
LindaSuhler,cferrer777,2.0
azblonde2015,deadeyemadoc,2.0
Women4Bernie,WhirlwindWisdom,2.0
eduloanrevolt,GlobalWeirding,2.0
k_devi,joseph_carangi,2.0
YugeMilo,YugeTrumpnado,2.0
DanScavino,bowman409,2.0
BernieSanders,RaySlamb,2.0
NRO,Cheri_Kentucky,2.0
DeePort28,Hedge_Shot,2.0
OnlyTruthReign,crisssledge,2.0
People4Bernie,laughingcat2016,2.0
AidanKing_,Bernie11901,2.0
eelawl1966,NoMoreDon8,2.0
rumpfshaker,85thLegislature,2.0
BernieSanders,SeanPolit,2.0
BernieSanders,llAdrianomegall,2.0
NicholsUprising,ARTSYJUDITH,2.0
DefendingtheUSA,Sari_Swensen,2.0
icareeguns,RowlandViki,2.0
TeamMarcoMiami,ImwithMarco,2.0
Missy_Kidd,kldreams61,2.0
BlueWaterDays,hallmarkm1,2.0
GRForSanders,Nicole28851,2.0
Libertea2012,UberPSDavid,2.0
People4Bernie,attorney22330,2.0
azblonde2015,solomon_ann,2.0
InfamousGrace_,RobertoPrusso,2.0
NeilTurner_,Retrogirl01,2.0
BerniePride,motown4bernie,2.0
LindaSuhler,sebb23,2.0
BerniesHomie,TexasForBernie,2.0
Iowa4Bernie,LordWhatAMess,2.0
GRForSanders,joseph_carangi,2.0
CallawayBOT,nancyhighlands7,2.0
davidsirota,rockyacht,2.0
Ricky_Vaughn99,minnamyself,2.0
_HankRearden,SmokinSam420,2.0
HunterHRC2016,Plantflowes,2.0
summer0655,NickiScroggin,2.0
mostawesomeblog,carmic14,2.0
Bonfiredesigns,FreeStateYank,2.0
azblonde2015,woitekj,2.0
AidanKing_,EmmaSegasture,2.0
RickSantorum,SkyNetWatching,2.0
BerniesHomie,BLACKFLAGchi,2.0
JaredWyand,NukinEgr,2.0
Republikim1,Jana_1977,2.0
chrishradil,realTeamTrump,2.0
azblonde2015,VeraTMD,2.0
BernieSanders,NettiePearl01,2.0
EnviroNewsTV,lamenaknight,2.0
NationalNurses,manderz_mky,2.0
Latinos4Bernie,ATHOMEActivism,2.0
Saint_Obama,momwalks2,2.0
People4Bernie,rothantik,2.0
TeamMarco,DollFaces911,2.0
JaredWyand,C4Constitution,2.0
Bernlennials,DefTonegirl,2.0
People4Bernie,boushdag,2.0
Libertea2012,Spill_Erix,2.0
ChristiChat,Contumedia,2.0
WayneEdH,GetBZLiving,2.0
ChristiChat,lynnrooey,2.0
jenny_nalley,damnpamfromnamm,2.0
BernieSanders,sloa0061,2.0
BOSSYtxmar55,wrmilligan,2.0
WayneDupreeShow,mkues65,2.0
DanScavino,julimwilkins,2.0
amrightnow,DianaBialkowski,2.0
People4Bernie,Konducta4LFE,2.0
GRForSanders,GuenPage,2.0
WorldForBernie,4AllSoulKind,2.0
GRForSanders,illiesunny,2.0
People4Bernie,lyabeer,2.0
BernieSanders,Brains4Bern,2.0
HillaryClinton,bobby_copeland,2.0
azblonde2015,redcloud5628,2.0
ProjectBernie16,RaySlamb,2.0
jphilman0206,JosephEach,2.0
CNNPolitics,BPPope,2.0
BernieSanders,larryclarry,2.0
SSbridges51,BeritaMooneyhan,2.0
Iowa4Bernie,BetzMyboyblue11,2.0
ernieHHI,philmonaco67,2.0
People4Bernie,LI4Bernie,2.0
NewDay,ljreynolds13,2.0
UnofficialFever,BerniesBros,2.0
JaredWyand,lish0531,2.0
The_Trump_Train,MrsSkulliesBass,2.0
azblonde2015,WhiteJacketPink,2.0
Latinos4Bernie,kenif537,2.0
GRForSanders,Martholomule_,2.0
CaroleChi,FranzGanter,2.0
BernieSanders,JustinDudo,2.0
calishrink,valsthewoman,2.0
GRForSanders,purpletaffy1,2.0
ireneberns,scotty2971,2.0
Shooters_Wife,mtnmancurt,2.0
BernieSanders,GRForSanders,2.0
ProjectBernie16,YusufHassani,2.0
AngryVoters,cann4ing,2.0
People4Bernie,MAHAMOSA,2.0
People4Bernie,DoubleIvy,2.0
Libertea2012,bandsh,2.0
arrjet17,hwils43,2.0
Iowa4Bernie,CL4R4GU3RR4,2.0
Ricky_Vaughn99,FriendlyJMC,2.0
BernieSanders,5thdimdreamz,2.0
icareeguns,moniquepetagaye,2.0
PamDMON,sanders4all,2.0
BernieSanders,samhwils,2.0
Colleges4Bernie,PositivelyJoan,2.0
People4Bernie,CrestonQ,2.0
patriotmom61,SkyNetWatching,2.0
EB_imconfus,BanditGolf,2.0
CanProveIt,MykelBeyotch,2.0
People4Bernie,JoseGoldschmidt,2.0
Millennials4Her,GetBZLiving,2.0
Bernlennials,KAIJUKING23,2.0
NARAL,sarahtimmerman,2.0
DanScavino,R82469734Janice,2.0
GRForSanders,KAIJUKING23,2.0
DanScavino,america_trump,2.0
Libertea2012,DebraLewis14,2.0
GlennHeiser,VeganmomVegan,2.0
BerniesHomie,amuses,2.0
DanScavino,Erosunique,2.0
NationalNurses,NurseJanIAm,2.0
BerniesHomie,shipman96,2.0
BlueWaterDays,wutnxt,2.0
LindaSuhler,maryjones1417,2.0
AidanKing_,RMGarman,2.0
barbetteolipha2,YugeMilo,2.0
GRForSanders,Dispersi0n,2.0
azblonde2015,NYCGlobal,2.0
BernieSanders,ProGloCommons,2.0
peterdaou,Lehigh389,2.0
BernieSanders,devdam1,2.0
MaryMorientes,bobby_copeland,2.0
sfloridastorm,SheilaWagner19,2.0
cindiperez48,Johnsontx5Diane,2.0
DefendingtheUSA,RepublicanMvmnt,2.0
JeanetteJing,DrdaveAnddee,2.0
LindaSuhler,erica4ou,2.0
BerniesBros,Hedge_Shot,2.0
Iowa4Bernie,evolved_deb,2.0
Youxia88,Texgalleslie,2.0
realDonaldTrump,SpecialKMB1969,2.0
BernieSanders,DaMagN,2.0
rebeleyeball,aheffne,2.0
marcorubio,olotupaul2,2.0
BernieSanders,JonathanPtrck,2.0
DanScavino,ROBELAM79,2.0
Shooters_Wife,RNRMaryland,2.0
ernieHHI,RETTinol,2.0
MoveOn,theadjournalist,2.0
azblonde2015,ejabel2,2.0
arizonasanders,EmmaSegasture,2.0
DanScavino,woitekj,2.0
People4Bernie,kenif537,2.0
NARAL,rodeodance,2.0
People4Bernie,jkrupkin26,2.0
BernieSanders,calicoskin,2.0
BernieSanders,Pasternak94,2.0
RoseAnnDeMoro,tates5a,2.0
GRForSanders,4BernieBecause,2.0
AVoiceForUSA,jcoralpark,2.0
Iowa4Bernie,Hedge_Shot,2.0
BerniesHomie,HowitzerDoogie,2.0
DanScavino,jenilynn1001,2.0
Rich_fxdump,BayArea4Bernie,2.0
iowacruzgirl,smartgirls4gop,2.0
cidelson,CL4R4GU3RR4,2.0
Appraiser19L,azblonde2015,2.0
JesusForBernie,NancyRog11,2.0
KekdzezezKeklel,YugeJets,2.0
People4Bernie,bullprog,2.0
TeamMarco,Orpi35,2.0
SteveDeaceShow,LewisCountyCruz,2.0
BernieSanders,TexasForBernie,2.0
Women4Bernie,CL4R4GU3RR4,2.0
JaredWyand,skyjones55,2.0
tgradous,bcwilliams92,2.0
purpletaffy1,d_w_shelton,2.0
boycotkochbros,pislandgirl,2.0
People4Bernie,CL4R4GU3RR4,2.0
ProjectBernie16,IL9CD4Bernie,2.0
BernieSanders,ValeriyaRusalka,2.0
Latinos4Bernie,WNC4Bernie,2.0
yaboyberniesand,SlubertFri,2.0
YugeMilo,bravehart60,2.0
TweetingYarnie,Moon___Sister,2.0
calishrink,Corgimom9047,2.0
JohnGGalt,Lucky5713,2.0
faagifts,hckysnyder,2.0
ChristiChat,JohnJaeger_MT,2.0
NationalNurses,frespiritd1,2.0
ChiariGirl357,cook_robert_l,2.0
RightForRubio,ImpressionsofTX,2.0
ernieHHI,LynnMoo37618860,2.0
DanScavino,sharonDay5,2.0
DanScavino,sandiv11,2.0
People4Bernie,TexasForBernie,2.0
_HankRearden,barkmartin,2.0
MidOhioMilitia,wyoming4trump,2.0
yaboyberniesand,Spill_Erix,2.0
ChristiChat,PaulWCockerham1,2.0
ernieHHI,LeslieWix,2.0
DanScavino,pacsgirl36,2.0
GovMikeHuckabee,teamhuck16ma,2.0
Jessispaul53S,YugeJets,2.0
NicoleJeanLTL,EmmaSegasture,2.0
Politicaltwain1,BlazePhoenix_,2.0
People4Bernie,marinmaven,2.0
jasonrapert,conservativeoki,2.0
MMFlint,DrdaveAnddee,2.0
marcorubio,yuniory12,2.0
BerniesHomie,AdamNGuy,2.0
icareeguns,T17R_TEdinger,2.0
DanScavino,ericksonr51,2.0
LiebermanJeremy,truthglow,2.0
Lee_in_Iowa,bndsnoopy61,2.0
BerniesHomie,Martholomule_,2.0
TweetingYarnie,morerye,2.0
ernieHHI,AngelBear2016,2.0
Sanders4Potus,SteegVan,2.0
azblonde2015,trumpemall,2.0
ferrenvivianay1,curtismuddog,2.0
BernieSanders,JoMiSa5150,2.0
icareeguns,hckysnyder,2.0
BernieSanders,sanderswins,2.0
BOSSYtxmar55,SpecialKMB1969,2.0
Ricky_Vaughn99,schweinehund74,2.0
JaredWyand,CarrieWelborn,2.0
TweetingYarnie,Bonnie_219,2.0
Republikim1,WarriorsHart444,2.0
ND4Bernie,ireneberns,2.0
ChuckNellis,Johnsontx5Diane,2.0
People4Bernie,pugrussell,2.0
BernieSanders,Crayz9000,2.0
jhutch1992,israfel070,2.0
marcorubio,MWPolitics,2.0
BernieSanders,Ziga_Iglic,2.0
JaredWyand,RMaintainers,2.0
People4Bernie,GRForSanders,2.0
Women4Bernie,OHWomen4Bernie,2.0
ChristiChat,mikede14785,2.0
GRForSanders,teb065,2.0
fwer1234,scotty2971,2.0
ghhxacjsbkamnb2,YugeJets,2.0
YugeMilo,amperg33,2.0
